
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
11694;12,06;14,83;ZS-26/02/4547;5629;8411066003188;Czekolada gorzka 73% kakao z miętą BIO 100 g;1.000000;szt.;23,00;12,06;14,83
11699;3,05;3,75;ZS-26/02/4547;5634;8411066002877;Czekolada gorzka 73% kakao BIO 25 g;2.000000;szt.;23,00;6,10;7,50
11701;8,95;11,01;ZS-26/02/4547;5636;8411066002723;Czekolada gorzka 72% kakao bez dodatku cukru z pomarańczą ze stewią KETO 100 g;2.000000;szt.;23,00;17,90;22,02
11703;9,09;11,18;ZS-26/02/4547;5638;8411066002815;Czekolada mleczna bez dodatku cukru słony karmel ze stewią KETO 100 g;5.000000;szt.;23,00;45,45;55,90
11732;6,62;6,95;ZS-26/02/4547;5668;5904261538065;Zakwas z buraków kiszonych BIO 500 ml;10.000000;szt.;5,00;66,20;69,51
11765;4,34;4,56;ZS-26/02/4547;5708;8007290133328;Makaron fusilli BIO 500 g;6.000000;szt.;5,00;26,04;27,34
11782;5,77;6,06;ZS-26/02/4547;5730;5908249979727;Mleko 3,5% tłuszczu BIO 1 l;3.000000;szt.;5,00;17,31;18,18
11816;6,31;6,63;ZS-26/02/4547;5769;8436008300026;Bagietka do zapiekania bezglutenowa 120 g;1.000000;szt.;5,00;6,31;6,63
11826;9,69;10,17;ZS-26/02/4547;5780;8436008308343;Croissanty do odpiekania bezglutenowe 200 g;5.000000;szt.;5,00;48,45;50,87
11835;6,91;7,26;ZS-26/02/4547;5790;8057094840717;Popcorn z solą do mikrofalówki bezglutenowy BIO 3 x 90 g;9.000000;szt.;5,00;62,19;65,30
11836;6,91;7,26;ZS-26/02/4547;5791;8057094840724;Popcorn niebieski z solą do mikrofalówki bezglutenowy BIO 3 x 90 g;4.000000;szt.;5,00;27,64;29,02
11887;9,83;10,32;ZS-26/02/4547;5847;4779039732621;Zupa pikantne curry z kremem kokosowym i grzybami shiitake BIO 400 g;1.000000;szt.;5,00;9,83;10,32
11963;4,39;4,74;ZS-26/02/4547;5941;8586017254794;Tofu marynowane w sosie sojowym 180g;1.000000;szt.;8,00;4,39;4,74
11968;4,11;4,44;ZS-26/02/4547;5946;8586001012720;Pasta z tofu smalczyk z cebulką 150g;2.000000;szt.;8,00;8,22;8,88
12015;5,10;6,27;ZS-26/02/4547;6002;5907222258811;Bombilla Yellow 500 ml;10.000000;szt.;23,00;51,00;62,73
12028;8,99;9,44;ZS-26/02/4547;6018;5904261538263;Bigos Wegański BIO 500g;1.000000;szt.;5,00;8,99;9,44
12070;5,09;6,26;ZS-26/02/4547;6065;8588007731612;Żelki kwaśne BEZGL. BIO 80 g BioSaurus;1.000000;szt.;23,00;5,09;6,26
12102;5,96;6,26;ZS-26/02/4547;6098;8007780001380;Spody do pizzy orkiszowe BIO 260 g (2 szt);4.000000;szt.;5,00;23,84;25,03
12113;5,13;5,39;ZS-26/02/4547;6109;5908249980228;Bułka tarta BIO 250 g;1.000000;szt.;5,00;5,13;5,39
12155;30,80;32,34;ZS-26/02/4547;6155;5903900941297;Oliwa z oliwek extra virgin Premium SPARTA BIO 500ml;1.000000;szt.;5,00;30,80;32,34
12244;11,04;11,92;ZS-26/02/4547;6246;4260221615216;Ketchup wędzony BIO 250 ml;1.000000;szt.;8,00;11,04;11,92
12252;9,16;9,89;ZS-26/02/4547;6254;4250107603475;Guma do żucia dla dzieci - arbuzowa 30szt, 30g;1.000000;szt.;8,00;9,16;9,89
12255;9,16;9,89;ZS-26/02/4547;6257;4250107600894;Guma do żucia - mięta kędzierzawa 30szt, 30g;1.000000;szt.;8,00;9,16;9,89
12256;8,69;9,39;ZS-26/02/4547;6258;4250107600900;Guma do żucia - mięta pieprzowa 30szt, 30g;2.000000;szt.;8,00;17,38;18,77
12258;8,69;9,39;ZS-26/02/4547;6260;4250107600993;Guma do żucia - zielona herbata 30szt, 30g;1.000000;szt.;8,00;8,69;9,39
12259;9,16;9,89;ZS-26/02/4547;6261;4250107600986;Guma do żucia - żurawinowa 30szt, 30g;1.000000;szt.;8,00;9,16;9,89
12286;41,15;43,21;ZS-26/02/4547;6288;7640230491877;Mleko kozie 1 początkowe od urodzenia /demeter BIO 400 g;8.000000;szt.;5,00;329,20;345,66
12290;11,89;12,48;ZS-26/02/4547;6292;7640104951261;Kaszka wielozbożowa z owocami, bezmleczna powyżej 6 m-ca życia BIO 250 g;1.000000;szt.;5,00;11,89;12,48
12298;3,82;4,01;ZS-26/02/4547;6300;7640230491716;Napój owsiany pełnoziarnisty, bezglutenowy powyżej 12 miesiąca życia /demeter BIO 200 ml;10.000000;szt.;5,00;38,20;40,11
12326;10,85;11,39;ZS-26/02/4547;6328;4260133231184;Śniadaniowe chrupki owsiane pełnoziarniste kakaowe po 12 miesiącu BIO 125 g;9.000000;szt.;5,00;97,65;102,53
12355;11,08;11,63;ZS-26/02/4547;6357;4030917001407;Mango chutney BIO 200 g;2.000000;szt.;5,00;22,16;23,27
12371;4,83;5,94;ZS-26/02/4547;6373;3265660399407;Chusteczki do higieny intymnej 20szt BIO;6.000000;szt.;23,00;28,98;35,65
12376;4,52;5,56;ZS-26/02/4547;6378;3265660392002;Płatki kosmetyczne, kwadratowe 40szt BIO;7.000000;szt.;23,00;31,64;38,92
12377;3,99;4,91;ZS-26/02/4547;6379;3265660395003;Płatki kosmetyczne, owalne 40szt BIO;3.000000;szt.;23,00;11,97;14,72
12385;7,67;9,43;ZS-26/02/4547;6387;4019886023566;Płyn do zmywania naczyń sensitive z aloesem BIO 500 ml;2.000000;szt.;23,00;15,34;18,87
12387;12,99;15,98;ZS-26/02/4547;6389;4019886000208;Płyn do zmywania naczyń cytryna-limonka BIO 1 l;2.000000;szt.;23,00;25,98;31,96
12410;21,78;26,79;ZS-26/02/4547;6412;4019886015509;Płyn do prania tkanin sportowych i membranowych BIO 750 ml;3.000000;szt.;23,00;65,34;80,37
12412;9,98;12,28;ZS-26/02/4547;6414;4019886016131;Płyn do płukania tkanin lawenda BIO 750 ml;1.000000;szt.;23,00;9,98;12,28
12414;10,89;13,39;ZS-26/02/4547;6416;4019886016100;Płyn do płukania tkanin magnolia BIO 750 ml;3.000000;szt.;23,00;32,67;40,18
12418;10,93;13,44;ZS-26/02/4547;6420;4019886000901;Sól regeneracyjna do zmywarki BIO 2 kg;1.000000;szt.;23,00;10,93;13,44
12466;6,75;8,30;ZS-26/02/4547;6468;6430034674702;Uniwersalny koncentrat czyszczący z wodą miętową w sprayu , wegański, certyfikowany ecolabe 500 ml;1.000000;szt.;23,00;6,75;8,30
12468;12,40;15,25;ZS-26/02/4547;6470;4740060015571;Płyn do prania color all-care 1.65 l;1.000000;szt.;23,00;12,40;15,25
12470;12,48;15,35;ZS-26/02/4547;6472;6430034679554;Płyn do prania uniwersalny sensitiv 1.5 l;3.000000;szt.;23,00;37,44;46,05
12471;5,51;6,78;ZS-26/02/4547;6473;6430034679615;Płyn do mycia szyb sensitiv 500 ml;1.000000;szt.;23,00;5,51;6,78
12475;3,73;4,59;ZS-26/02/4547;6477;6430034672388;Płyn do mycia naczyń sensitiv 500 ml;2.000000;szt.;23,00;7,46;9,18
12502;12,37;12,99;ZS-26/02/4547;6504;782126003089;Podpaski ze skrzydełkami super 12 szt.;1.000000;szt.;5,00;12,37;12,99
12544;6,83;8,40;ZS-26/02/4547;6546;8005892346498;Papier ekologiczny toaletowy econatural, 100% celuloza, 2 warstwy, 4 rolki, 400 listków;6.000000;szt.;23,00;40,98;50,41
12546;10,29;10,80;ZS-26/02/4547;6548;787099255411;Podpaski higieniczne bambusowe ze skrzydełkami (10 podpasek na dzień + 5 podpasek na noc);1.000000;szt.;5,00;10,29;10,80
12562;22,90;24,05;ZS-26/02/4547;6564;5710087113108;Kauczukowy smoczek anatomiczny gwiazdy/księżyc 0-3 miesięcy;1.000000;szt.;5,00;22,90;24,05
12644;4,78;5,88;ZS-26/02/4547;6646;3800500324012;Szczoteczka do zębów bambusowa, średnia, czarna 18.8cm;1.000000;szt.;23,00;4,78;5,88
12744;9,50;9,98;ZS-26/02/4547;6751;7330933176941;Ekologiczne wkladki higieniczne, Large, 28 szt;1.000000;szt.;5,00;9,50;9,98
12775;6,60;8,12;ZS-26/02/4547;6782;6430034679585;Płyn do płukania Sensitive 1,5 l;1.000000;szt.;23,00;6,60;8,12
12795;9,64;10,12;ZS-26/02/4547;6807;7640161872301;Musli junior z owocami od 10 miesiąca życia BIO 250 g;1.000000;szt.;5,00;9,64;10,12
12798;11,36;12,27;ZS-26/02/4547;6810;4030917039301;Sos chili sin carne BEZGL. BIO 330 ml;1.000000;szt.;8,00;11,36;12,27
